box_size/Zone,a,b,c,d,e,f,g,h,i
1,129,139,149,159,169,179,189,199,209
2,149,159,169,179,189,199,209,219,229
3,169,179,189,199,209,219,229,239,249
4,189,199,209,219,229,239,249,259,269
5,209,219,229,239,249,259,269,279,289
6,229,239,249,259,269,279,289,299,309
7,249,259,269,279,289,299,309,319,329
8,269,279,289,299,309,319,329,339,349
9,289,299,309,319,329,339,349,359,369
