ID,Brand,Model,Motor,Name,Power,Torque,Weight
151,Audi,A5,B8 1.8 TFSI Sportback (2008-2015),Audi/A5/B8 1.8 TFSI Sportback (2008-2015) ,8.4,13.8,2.1
153,Audi,A5,B8 2.0 TFSI Sportback (2008-2015),Audi/A5/B8 2.0 TFSI Sportback (2008-2015) ,8.4,13.8,2.1
154,Audi,A5,B8 1.8 2.0 TFSI Coupe/Cabriolet (2008-2015),Audi/A5/B8 1.8 2.0 TFSI Coupe/Cabriolet (2008-2015) ,8.4,13.8,2.1
155,Audi,A5,B8 1.8 2.0 TFSI Sportback (2008-2015),Audi/A5/B8 1.8 2.0 TFSI Sportback (2008-2015),8.4,13.8,2.1
178,Audi,A4,B9  2.0 TFSI Sedan/Avant (2WD)(2016-present),Audi/A4/B9 2.0 TFSI Sedan/ Avant (2WD) (2016-present) ,12,21.1,3.5
186,Audi,S1,8X 2.0 TFSI Hatchback/Sportback,Audi/S1/8X 2.0 Hatchback/ Sportback (2015-present),11,14.3,3
1331,Audi,R8,MKII Coup? / Spyder / Plus 2016- V10 5.2 FSI,Audi R8 MKII V10 5.2 FSI Coup? / Spyder / Plus (2016 - ),17.5,19.2,20.6
1349,Audi,S4,B9 3.0 TFSI V6 turbocharged Sedan (2018-present),Audi/S4/B9 3.0 TFSI Sedan(2018-present),19.2,25.2,2.3
1358,Audi,S5,B9 3.0 TFSI V6 Coupe (2018-present),Audi/S5/B9 3.0 TFSI Sportback(2018-present),19.2,25.2,2.3
1375,Audi,RS4,B9 2.9 V6 Turbo (2017-present),Audi/RS4/B9 2.9 V6 Turbo (2017-present),19.8,25.8,2.8
1376,Audi,RS5,B9 Coupe 2.9 V6 Turbo (2017-present),Audi/RS5/B9 Coupe 2.9 V6 Turbo (2017-present),19.8,25.8,2.8
1377,Audi,RS3,8V Sedan (2017-present),Audi/RS3/8V Sedan (2017-Present) ,19.2,25.7,3.1
1378,Audi,A5,B9 2.0 TFSI Sportback 2WD (2016-present),Audi/A5/B9 2.0 TFSI Sportback 2WD (2016-present),12,21.1,3.5
1379,Audi,A5,B9 2.0 TFSI Sportback 4WD (2016-present),Audi/A5/B9 2.0 TFSI Sportback 4WD (2016-present),12,21.1,3.5
1392,Audi,R8,MKI Facelift V10 5.2 FSI Coupe/Spider (2013-2015),Audi/R8/MKI Facelift V10 5.2 FSI Coupe/Spider (2013-2015),16.6,18.1,21.5
1393,Audi,S7,C7 4.0 V8 twin turbo (2012-present),Audi/S7/C7 4.0 V8 Twin Turbo (2012-present),8.9,14.8,1.5
1394,Audi,S6,C7 4.0 V8 twin turbo (2012-present),Audi/S6/C7 4.0 V8 Twin Turbo (2012-present),8.9,14.8,1.5
1415,Audi,A4,B9 2.0 TFSI Sedan/Avant (4WD)(2016-present),Audi/A4/B9 2.0 TFSI Sedan/ Avant (4WD) (2016-present) ,12,21.1,3.5
1423,Audi,A5,B9 2.0 TFSI Coupe 2WD (2016-present),Audi/A5/B9 2.0 TFSI Coupe 2WD (2016-present),12,21.1,3.5
