ID,Brand,Model,Motor,Name,Power,Torque,Weight
23,Ferrari,599 GTB,6.0 V12 (2006-2012),Ferrari/599 GTB/6.0 V12 (2006-2012),26.4,26,14.9
24,Ferrari,599 GTO,6.0 V12 (2011-2012),Ferrari/599 GTO/6.0 V12 (2011-2012),26.4,26,14.9
25,Ferrari,F12 Berlinetta,6.3 V12 (2012-present),Ferrari/F12 Berlinetta/6.3 V12 (2012-present),29.2,28.7,17.7
28,Ferrari,F458,4.5 V8 (2010-2015),Ferrari/F458/4.5 V8 (2010-2015),22.5,22.7,8.4
29,Ferrari,California,4.3 V8 (2008-2013),Ferrari/California/4.3 V8 (2008-2013),19.3,21.2,12.4
189,Ferrari,F488 GTB / Spider / Pista,3.9 Biturbo (2015-present),Ferrari/488 GTB/3.9 V8 (2015-present),25.4,22.5,-
1395,Ferrari,812 Superfast,6.5L V12 (2017-present),Ferrari/812 Superfast/6.5L V12 (2017-present),22,23,-
54,Ford,Mustang 2.3 EcoBoost,2.3 turbo MK6 (2015-present),Ford Mustang (MK6) 2.3 ecoBoost (2015-present),16.4,23.9,4.7
56,Ford,Mustang GT,5.0 V8 MK6 (2015-2017),Ford/Mustang GT/5.0 V8 MK6 (2015-2017),13.4,18,4.5
170,Ford,Focus RS,2.3 Turbo (2015-present),Ford/Focus RS (MKIII)/2.3L Turbo (2016-present),14.2,15.8,2.3
1384,Ford,Mustang GT,5.0 V8 MK6 Facelift (2018-present),Ford/Mustang GT/5.0 V8 MK6 Facelift (2018-present),13.4,18,4.2
164,Honda,Civic Type-R,FK2 (2015-2017)(For LHD model),Honda/Civic Type-R/FK2 (2015-2017)(For LHD model) ,16.2,22,5.4
183,Honda,Acura,NSX MK2,Honda/Acura/NSX/MK2 (2016-present),29.5,29,22
1383,Honda,Civic Type-R,FK8 (2017-present),Honda/Civic Type-R/FK8 (2017-present),18,23,6.2
39,Lamborghini,Aventador,6.5 V12 LP700-4/LP720-4 (2011-present),Lamborghini/Aventador/6.5 V12 LP700-4/LP720-4 (2011-present),29.6,29,34.5
40,Lamborghini,Gallardo,5.2 V10 LP550-2/560-4/570-4 (2007-2013),Lamborghini/Gallardo/5.2 V10 LP550/560/570 (2007-2013),21.7,22.7,18.5
41,Lamborghini,Huracan,5.2 V10 LP610-4 (2014-present),Lamborghini/Huracan/5.2 V10 LP610 (2014-present),24.1,23.5,18.2
42,Lamborghini,Murcielago,6.5L V12 LP670-4 SV (2009-2010),Lamborghini/Murcielago/6.5L V12 LP670 SV (2009-2010),26.4,27.7,71.3
43,Lamborghini,Murcielago,6.5L V12 LP640-4 (2006-2010),Lamborghini/Murci??lago/6.5L V12 LP640 (2006-2010),25.3,27.7,71.3
133,Lamborghini,Aventador,6.5 V12 LP750-4 SV  (2011-present),Lamborghini/Aventador/6.5 V12 LP750-4 SV (2011-present),29.6,29,34.5
185,Lamborghini,Huracan,5.2 V10 LP580-2 (2016-present),Lamborghini/Huracan/5.2 V10 LP580-2 (2016-present),24.1,23.5,18.2
1385,Lamborghini,Aventador,6.5 V12 LP740-4 S (2016-present),Lamborghini/Aventador/6.5 V12 LP740-4 S (2016-present),29.6,29,34.5
1418,Lamborghini,Urus,Twin-turbo 4L V8 (2018-present),Lamborghini/Urus/Twin-turbo 4.0 V8 (2016-present),36,32,5.8
121,Land Rover,Range Rover Evoque,PURE/SE 2.0 Turbo (2011-present),Land Rover/Range Rover Evoque/PURE/SE 2.0 Turbo (2011-present),12.7,18.7,2.2
122,Land Rover,Range Rover Evoque,DYNAMIC 2.0 Turbo (2011-present),Land Rover/Range Rover Evoque/DYNAMIC 2.0 Turbo (2011-present),12.7,18.7,2.2
55,Lexus,RCF,5.0 V8 (2014-present),Lexus/RCF/5.0 V8 (2014-present),18.8,22.3,2.3
1382,Lexus,LC500,5.0 V8 (2017-present),Lexus/LC500/5.0 V8 (2017-present),19,23,2.5
1412,Lexus,IS 200t / 300,2.0 Turbo I4 (2015-present),Lexus/IS200t IS300/2.0 I4 (2015-present),,,
1396,Maserati,Ghibli,Ghibli/Ghibli S 3.0L V6 Twin turbo (2013-present),Maserati/ Ghibli/ Ghibli S / 3.0L V6 Twin turbo (2013-present),,,
1401,Maserati,Ghibli,Ghibli SQ4 3.0L V6 Twin turbo (2013-present),Maserati/ Ghibli SQ4 / 3.0L V6 Twin turbo (2013-present),,,
32,McLaren,570S / 570GT / 540C,Twin-Turbo 3.8 V8 (2015-present),McLaren 570S / 570GT / 540C Twin-Turbo 3.8 V8 (2015-present),29.8,33,3.4
33,McLaren,650S,Twin-Turbo 3.8 V8 (2015-present),McLaren/650S/Twin-Turbo 3.8 V8 (2015-present),34,37.3,5.1
34,McLaren,MP4-12C,Twin-Turbo 3.8 V8 (2011-2014),McLaren/MP4-12C/Twin-Turbo 3.8 V8 (2011-2014),31.3,33,5.1
1380,McLaren,720S,4.0lL twin-turbo V8,McLaren 720S 4.0L Twin-Turbo V8 (2017-present),36,38,4.5
1417,McLaren,600LT,Twin-turbo 3.8L V8 (2019-present),McLaren 600LT / Twin-Turbo 3.8 V8 (2019-present),28,34,1.1
99,Mercedes Benz,A-Klasse,W176 A180/A200/A250 (2012-2015),Mercedes Benz/A-Klasse/W176 A180 A200 A250 (2012-2015),6.5,11,3.6
101,Mercedes Benz,A-Klasse,W176 A180/A200/A250 Facelift (2016-2018),Mercedes Benz/A-Klasse/W176 A180/A200/A250 (2016-2018),8.3,13.8,7
104,Mercedes Benz,A-Klasse,W176 A45 AMG (2013-present),Mercedes Benz/A-Klasse/W176 A45 (2013-present),18.8,24.8,3.6
105,Mercedes Benz,CLA-Klasse,C117 CLA180/CLA200/CLA250 2WD (2013-2018),Mercedes Benz/CLA-Klasse/C117 CLA180/CLA200 (2013-2015),8.3,13.8,3.6
107,Mercedes Benz,CLA-Klasse,C117 CLA250 4 Matic (2013-2018),Mercedes Benz/CLA-Klasse/C117 CLA250 4 Matic (2013-2015) ,11.2,10.3,7
109,Mercedes Benz,CLA-Klasse,C117 CLA45 AMG (2013-present),Mercedes Benz/CLA-Klasse/C117 CLA45 (2013-present),19.9,26.1,4.1
115,Mercedes Benz,CLA-Shooting Brake,X117 CLA45 Shooting Brake (2015-2016),Mercedes Benz/CLA-Shooting Brake/X117 CLA45 Shooting Brake (2015-2016),19.9,26.1,4.1
120,Mercedes Benz,GLA-Klasse,X156 GLA45 AMG (2013-present),Mercedes Benz/GLA-Klasse/X156 GLA45 (2013-present),18.8,24.8,3.4
126,Mercedes Benz,C-Klasse,W204 C63 6.3 V8 AMG (2008-2014),Mercedes Benz/C-Klasse/W204 C63 6.3 V8 (2008-2014),18,25.2,11.4
129,Mercedes Benz,C-Klasse,W205 S205 C205 C200/C250/C300 2WD/4-Matic (2014-present),Mercedes Benz/C-Klasse/W205 C200/C250/C300 2WD/4-Matic (2014-present),11.2,19.3,2.1
130,Mercedes Benz,C-Klasse,W205 C63/C63S 4.0 V8 Turbo AMG (2014-present),Mercedes Benz/C-Klasse/W205 C63/C63S 4.0 V8 Turbo (2014-present),25.2,35.8,5
131,Mercedes Benz,C-Klasse,W204 C180/C200/C250 1.8 Turbo (2011-2014),Mercedes Benz/C-Klasse/W204 C180/C200/C250 1.8 Turbo (2011-2014),13.8,16.3,0
132,Mercedes Benz,C-Klasse,W205 C400/C450/C43 AMG (2014-present),Mercedes Benz/C-Klasse/W205 C400/C450/C43 (2014-present),19.5,28.6,2.4
162,Mercedes Benz,CLA-Shooting Brake,X117 CLA200/CLA250 Shooting Brake 2WD (2015-2016),Mercedes Benz/CLA-Shooting Brake/X117 CLA200 Shooting Brake 2wd(2015-2016) ,8.3,13.8,3.6
179,Mercedes Benz,GLC-Klasse,Benz   X253 GLC250/GLC300  SUV (2016-present),Mercedes Benz X253 GLC250/GLC300 4MATIC (2016-present) ,13.8,16.3,1
180,Mercedes Benz,GLE-Klasse,GLE63 / GLE63 S Coupe AMG V8 Biturbo (2016-present),Mercedes Benz GLE63 AMG COUPE (2016-present) ,25.2,35.8,5
187,Mercedes Benz,GLC-Klasse,Benz C253 GLC250/GLC300 Coupe (2016-present),Mercedes Benz C253 GLC250/GLC300 4MATIC (2016-present) ,13.8,16.3,1
188,Mercedes Benz,GLC-Klasse,Benz X253 GLC43 AMG Coupe/SUV (2017-present),Mercedes AMG  X253 GLC43 Coupe/SUV(2017-present) ,12.1,20.4,2
1386,Mercedes Benz,GLE-Klasse,GLE43/GLE400/GLE450 Coupe/SUV AMG (2016-present),Mercedes Benz GLE43/GLE400/GLE450 COUPE AMG (2016-present) ,19.5,28.6,3.5
1391,Mercedes Benz,E-Klasse,W213 E200/E250/E300 (2016-present),Mercedes Benz/E-Klasse/W213 E200/E250/E300 (2016-present),11.2,19.3,2.1
1404,Mercedes Benz,E-Klasse,W213 E43/E400 AMG (2016-2018),Mercedes Benz/E-Klasse/W213 E43/E400 AMG (2014-present),19.5,28.6,2.4
1405,Mercedes Benz,C-Klasse,W205 C300 Facelift (2019-present),Mercedes Benz/C-Klasse/W205 C300 Facelift (2019-present),12.5,21.2,2.5
1406,Mercedes Benz,A-Klasse,W177 A250 (2018-present),Mercedes Benz/A-Klasse/W177 A250 (2018-present),9.6,14.5,6.5
1413,Mercedes Benz,E-Klasse,W213 E200/E300 Coupe (2016-present),Mercedes Benz/E-Klasse/W213 E200/E300 Coupe (2016-present),11.2,19.3,2.1
1419,Mercedes Benz,E-Klasse,W213 E63/E63S AMG (2016-present),Mercedes Benz/E-Klasse/W213 E63/E63S AMG (2016-present),25.2,35.8,5
1420,Mercedes Benz,G-Klasse,W463A G500/G550 4.0L V8 biturbo (2018-present),Mercedes Benz/G-Klasse/W464 G500/G550 (2018-present),15.3,11.2,3.5
1428,Mercedes Benz,GLA-Klasse,X156 GLA180/200/250  2WD/4WD (2014-2018),Mercedes Benz/GLA-Klasse/X156 GLA2505 (2014-2018),8,12.8,3
1429,Mercedes Benz,GLC-Klasse,GLC250 / GLC300 Facelift (2019-present),Mercedes Benz X253 GLC250/GLC300 Facelift (2019-present) ,12.5,21.2,2.6
59,MINI,Cooper S,F56 2.0 turbo (3-door Hatch) (2014- present),MINI/Cooper S/F56 2.0 turbo (3-door Hatch) (2014- present) ,10,15.4,4.4
60,MINI,Cooper S,F55 2.0 turbo (5-door Hatch) (2014- present),MINI/Cooper S/F55 2.0 turbo (5-door Hatch) (2014- present),10,15.4,4.4
46,Nissan,GT-R R35,3.8 Twin-Turbo V6 (2007-2016),Nissan/GT-R R35/R35 3.8 Twin-Turbo V6 (2007-2016),29.8,36.6,2.3
49,Nissan,370Z,3.7 V6 (2009-present),Nissan/370Z/3.7 V6 (2009-present),13,15.4,1.9
135,Nissan,GT-R R35,3.8 Twin-Turbo V6 (2017-present),Nissan/GT-R R35/3.8 Twin-Turbo V6 (2017-present),29.8,34.8,2.3
22,Porsche,911 Turbo,930 3.0 Turbo (1975-1977)/3.3 Turbo(1978-1989),Porsche/911 Turbo/930 3.0 Turbo (1975-1977)/3.3 Turbo(1978-1989),N/A,N/A,1.8
26,Porsche,Boxster,987.2 PDK /Boxster S /Black edition/ Spyder (2009-2012),Porsche/Boxster/987.2 PDK /Boxster S /Black edition/ Spyder (2009-2012),10.5,14.4,2.2
27,Porsche,Boxster,981  Boxster / S /GTS/ Spyder (2012-2016),Porsche 981 Boxster/S/GTS/Spyder (2012-2016),15.2,24.4,1.6
31,Porsche,Boxster,718  Boxster / Boxster S (2016-present),Porsche 718 Boxster & S / 4-cylinder turbocharged 2.0-litre / 2.5-litre engine (2016-present),9.3,12.4,1.9
35,Porsche,911 Carrera,997.1 Carrera S/4S (2004-2008),Porsche/911 Carrera/997.1 Carrera /Carrera 4 /Carrera S /Carrera 4S (2004-2008),12.8,15.5,2.7
36,Porsche,911 Turbo,997.1 3.6 Turbo (2006-2008),Porsche/911 Turbo/997.1 3.6 Turbo (2006-2008) ,26.1,38.5,12.2
37,Porsche,911 Carrera,997.2 PDK Carrera S/4S (2009-2012),Porsche/911 Carrera/997.2 PDK Carrera /Carrera 4 /Carrera S /Carrera 4S (2009-2012),13.6,16.4,0.5
38,Porsche,911 Carrera,991.1 Carrera S/4S/GTS (2012-2015),Porsche/911 Carrera/991.1 Carrera /Carrera 4 /Carrera S /Carrera 4S/GTS (2012-2015),13.8,16.4,5.8
44,Porsche,911 GT3,991 GT3/GT3 RS (2013-present),Porsche/911 GT3/991 GT3/GT3 RS (2013-present),18.8,18.5,
45,Porsche,911 Turbo,991.1 Turbo/Turbo S  (2013-2015),Porsche/911 Turbo/991.1 Turbo/Turbo S (2013-2015),27.2,39.1,0.5
